t,msd
0.0,0.0
0.1,-1.018845771127107
0.2,-3.395211663937711
0.30000000000000004,-6.139549832220193
0.4,-8.70266763446016
0.5,-10.971046239092736
0.6000000000000001,-12.966803537758109
0.7000000000000001,-14.68169699512959
0.8,-16.088435020407292
0.9,-17.19205986219445
1.0,-18.040486803121105
1.1,-18.687291986724745
1.2000000000000002,-19.142855421052207
1.3,-19.436396410197915
1.4000000000000001,-19.60467938915872
1.5,-19.68782469080441
1.6,-19.70040697565881
1.7000000000000002,-19.660556999422454
1.8,-19.588033707563863
1.9000000000000001,-19.50593854181395
2.0,-19.412872212286533
2.1,-19.314114222231034
2.2,-19.21784947481972
2.3000000000000003,-19.127861875471734
2.4000000000000004,-19.055113729979396
2.5,-19.007086628014463
2.6,-18.95346343693126
2.7,-18.885621605985676
2.8000000000000003,-18.809982879043073
2.9000000000000004,-18.724989243196866
3.0,-18.632621291453155
3.1,-18.546743082601335
3.2,-18.46859830249749
3.3000000000000003,-18.386252953534882
3.4000000000000004,-18.314425805104776
3.5,-18.275980097192033
3.6,-18.269095290321086
3.7,-18.278408288229958
3.8000000000000003,-18.30295118264528
3.9000000000000004,-18.336257240691857
4.0,-18.37349718456058
4.1000000000000005,-18.41415902820146
4.2,-18.46571892487044
4.3,-18.54710228598305
4.4,-18.670847098410402
4.5,-18.821875539066486
4.6000000000000005,-18.983130208869174
4.7,-19.151081765376283
4.800000000000001,-19.298243013369007
4.9,-19.404137105433673
5.0,-19.4669678723493
5.1000000000000005,-19.511011883980725
5.2,-19.560757189223267
5.300000000000001,-19.619229187263322
5.4,-19.684862426243424
5.5,-19.7768824482656
5.6000000000000005,-19.907045914071805
5.7,-20.064157546481177
5.800000000000001,-20.222195607900375
5.9,-20.37139348956724
6.0,-20.52060523687548
6.1000000000000005,-20.656033493033423
6.2,-20.74465863339532
6.300000000000001,-20.786632802489677
6.4,-20.811485599115272
6.5,-20.838104602705062
6.6000000000000005,-20.865462396280606
6.7,-20.88388062542203
6.800000000000001,-20.88231530096309
6.9,-20.86632137335778
7.0,-20.839045764665237
7.1000000000000005,-20.81298522549936
7.2,-20.782002399970168
7.300000000000001,-20.735090796380902
7.4,-20.673034724497025
7.5,-20.613262848636285
7.6000000000000005,-20.57639844605398
7.7,-20.582245638603254
7.800000000000001,-20.634732533565884
7.9,-20.71630023867893
8.0,-20.793225401285486
8.1,-20.852980687559604
8.200000000000001,-20.902122053100832
8.3,-20.953890265501343
8.4,-21.015969751589722
8.5,-21.08860103875515
8.6,-21.176796431579728
8.700000000000001,-21.2580868926324
8.8,-21.313598452956654
8.9,-21.332556917164688
9.0,-21.33049828499707
9.1,-21.333882627805068
9.200000000000001,-21.3651142678757
9.3,-21.415204671574436
9.4,-21.47972514724986
9.5,-21.56491408163276
9.600000000000001,-21.65158583717456
9.700000000000001,-21.720792024902668
9.8,-21.780040811846998
9.9,-21.820828019746724
10.0,-21.827108533879215
10.100000000000001,-21.811273126685176
10.200000000000001,-21.795081416838705
10.3,-21.795294385713177
10.4,-21.79418730783842
10.5,-21.794598424467463
10.600000000000001,-21.810727101764794
10.700000000000001,-21.826390577997522
10.8,-21.82170248840709
10.9,-21.80138269190886
11.0,-21.782090480329213
11.100000000000001,-21.786280316654523
11.200000000000001,-21.831283436637875
11.3,-21.897317883639893
11.4,-21.95700259195444
11.5,-22.000438376611964
11.600000000000001,-22.022957254412653
11.700000000000001,-22.036346168305183
11.8,-22.067973734241654
11.9,-22.10164009349667
12.0,-22.119689522818675
12.100000000000001,-22.14223488057214
12.200000000000001,-22.187175566593478
12.3,-22.252376409161077
12.4,-22.322151667146475
12.5,-22.38236906065323
12.600000000000001,-22.43664249703808
12.700000000000001,-22.509143660674923
12.8,-22.605247581709417
12.9,-22.70286064749526
13.0,-22.778614362696036
13.100000000000001,-22.799435875432437
13.200000000000001,-22.75926455627645
13.3,-22.70276280132424
13.4,-22.674904361019024
13.5,-22.698393814358056
13.600000000000001,-22.748426624565493
13.700000000000001,-22.801411997941536
13.8,-22.859319571407813
13.9,-22.926809828834372
14.0,-22.997036430411743
14.100000000000001,-23.058056421325016
14.200000000000001,-23.112540524582187
14.3,-23.173087407999198
14.4,-23.216671918250494
14.5,-23.22265894226263
14.600000000000001,-23.224940731794312
14.700000000000001,-23.237562421399854
14.8,-23.216671132866466
14.9,-23.14982305863941
15.0,-23.100446253725238
15.100000000000001,-23.108562751530712
15.200000000000001,-23.168147767151073
15.3,-23.244870607690956
15.4,-23.32055761350973
15.5,-23.391740654167062
15.600000000000001,-23.44866390605428
15.700000000000001,-23.499651817326075
15.8,-23.555955020378615
15.9,-23.60586510679379
16.0,-23.629875201243753
16.1,-23.62244910820848
16.2,-23.609164328898913
16.3,-23.605759916487873
16.400000000000002,-23.609446855775182
16.5,-23.628123687510318
16.6,-23.6647223269859
16.7,-23.719946550329407
16.8,-23.77747533692726
16.900000000000002,-23.82740045238094
17.0,-23.866229665439747
17.1,-23.89236674719952
17.2,-23.89446364586084
17.3,-23.861615684869196
17.400000000000002,-23.820953266447525
17.5,-23.809780175118917
17.6,-23.834402500648583
17.7,-23.876889516944978
17.8,-23.9526005294257
17.900000000000002,-24.051393139703233
18.0,-24.136347902330538
18.1,-24.188978849943094
18.2,-24.236560667469615
18.3,-24.29125643588618
18.400000000000002,-24.348696581999413
18.5,-24.407298623938647
18.6,-24.459455610962674
18.7,-24.494037556644003
18.8,-24.523806602147808
18.900000000000002,-24.572390627808343
19.0,-24.633684797644076
19.1,-24.69170574939815
19.200000000000003,-24.726177325459787
19.3,-24.740311645090184
19.400000000000002,-24.75996029554839
19.5,-24.801368636042238
19.6,-24.851714737579044
19.700000000000003,-24.890441733766842
19.8,-24.917312621470863
19.900000000000002,-24.946961309184946
20.0,-24.965428079562177
20.1,-24.971310929188157
20.200000000000003,-24.967720820047298
20.3,-24.946707190237987
20.400000000000002,-24.920358303207465
20.5,-24.895895099107516
20.6,-24.885211674830533
20.700000000000003,-24.89998324605903
20.8,-24.919552535454997
20.900000000000002,-24.910328434612282
21.0,-24.8813853717089
21.1,-24.88122232048362
21.200000000000003,-24.905644663526328
21.3,-24.9244045137225
21.400000000000002,-24.928675208903435
21.5,-24.927714282958032
21.6,-24.931220076176064
21.700000000000003,-24.93230449087202
21.8,-24.90662962580161
21.900000000000002,-24.85557052810984
22.0,-24.79597181800834
22.1,-24.76996853045398
22.200000000000003,-24.79034158579669
22.3,-24.827210911630896
22.400000000000002,-24.862103600942117
22.5,-24.894425201421246
22.6,-24.939698559285002
22.700000000000003,-25.008635433446333
22.8,-25.092279487500555
22.900000000000002,-25.183723031335553
23.0,-25.277088018326637
23.1,-25.352283125052256
23.200000000000003,-25.39822293110236
23.3,-25.436684067669
23.400000000000002,-25.48382550150856
23.5,-25.521275909894054
23.6,-25.531377735232894
23.700000000000003,-25.50730165248252
23.8,-25.45807556611247
23.900000000000002,-25.404088814172216
