t,msd
0.0,0.0
0.1,174.4562066478214
0.2,552.1375563523093
0.30000000000000004,966.3223836507198
0.4,1339.5456968319988
0.5,1656.0240041615991
0.6000000000000001,1915.1170410271052
0.7000000000000001,2121.1144195029797
0.8,2282.14901645749
0.9,2404.956208436556
1.0,2493.427110216978
1.1,2555.9322921233656
1.2000000000000002,2599.199425924392
1.3,2627.6411637976366
1.4000000000000001,2646.7222707244814
1.5,2661.5436576534444
1.6,2674.799108862012
1.7000000000000002,2685.932308511658
1.8,2693.495501091577
1.9000000000000001,2698.1508037995077
2.0,2700.760029196762
2.1,2701.578156623114
2.2,2702.320199554158
2.3000000000000003,2705.0531720847703
2.4000000000000004,2708.4811845231775
2.5,2712.7863586136145
2.6,2719.334416735968
2.7,2727.3644028868675
2.8000000000000003,2737.0766100358414
2.9000000000000004,2746.909018854029
3.0,2759.7220789554653
3.1,2775.7398858368006
3.2,2794.5477304541855
3.3000000000000003,2813.0693431693626
3.4000000000000004,2830.88489494324
3.5,2846.571810884177
3.6,2862.2207063368405
3.7,2878.9411479076475
3.8000000000000003,2895.452683394439
3.9000000000000004,2910.4424299133484
4.0,2926.4311398979185
4.1000000000000005,2944.9819386955305
4.2,2966.6120522590995
4.3,2989.7493417415258
4.4,3012.7124642390922
4.5,3035.859154416623
4.6000000000000005,3061.6633378674433
4.7,3088.007678882538
4.800000000000001,3114.1377023236487
4.9,3137.5012976981106
5.0,3156.7872749775147
5.1000000000000005,3174.6205624374293
5.2,3192.431089106293
5.300000000000001,3210.732096896721
5.4,3232.1591092238914
5.5,3256.9062795156497
5.6000000000000005,3282.375633688872
5.7,3304.7578763470156
5.800000000000001,3324.120884776504
5.9,3343.3933482267107
6.0,3362.754301281665
6.1000000000000005,3379.698461113408
6.2,3392.8365037516933
6.300000000000001,3404.1849998227026
6.4,3415.16767504299
6.5,3427.642732420914
6.6000000000000005,3440.3342267662065
6.7,3453.1896953607793
6.800000000000001,3465.764228338137
6.9,3477.6870035637485
7.0,3490.9150706729115
7.1000000000000005,3503.8052721407125
7.2,3514.6260997047507
7.300000000000001,3522.939792446989
7.4,3528.6888163981002
7.5,3534.470259364629
7.6000000000000005,3542.1616171838086
7.7,3553.772106055018
7.800000000000001,3568.731995034209
7.9,3584.1780924288873
8.0,3597.1117893970254
8.1,3608.206257703702
8.200000000000001,3618.5408755412604
8.3,3630.273941294877
8.4,3644.0842044988867
8.5,3659.250980993356
8.6,3674.562362586261
8.700000000000001,3688.6146775128714
8.8,3698.8967351956417
8.9,3706.558106959799
9.0,3713.1739278957093
9.1,3722.23732229378
9.200000000000001,3734.788320537618
9.3,3746.9433417382975
9.4,3757.302082534168
9.5,3764.816911515146
9.600000000000001,3770.518688943641
9.700000000000001,3778.5474086452705
9.8,3790.2409827940037
9.9,3805.722534929414
10.0,3823.5774031443116
