t,msd
0.0,0.0
0.1,249.00152010608807
0.2,751.0844907774758
0.30000000000000004,1256.375808127849
0.4,1672.0882045096691
0.5,2008.400835745577
0.6000000000000001,2277.6486984735966
0.7000000000000001,2486.3000000040033
0.8,2643.0329518127487
0.9,2756.4541202671103
1.0,2840.467233449827
1.1,2901.803732115931
1.2000000000000002,2943.200512206332
1.3,2969.933959532093
1.4000000000000001,2985.499061252744
1.5,2993.13407296843
1.6,2993.5447121515954
1.7000000000000002,2987.012009695381
1.8,2981.9194774445973
1.9000000000000001,2978.8351977029497
2.0,2975.7537543737653
2.1,2970.9890619393927
2.2,2963.4100605282197
2.3000000000000003,2960.2334994427906
2.4000000000000004,2961.112262764634
2.5,2964.117772036121
2.6,2966.4358605386533
2.7,2969.8852363145743
2.8000000000000003,2971.3797276379196
2.9000000000000004,2971.5788820284242
3.0,2973.9545850586305
3.1,2975.803784076107
3.2,2976.814730829099
3.3000000000000003,2982.4287170724633
3.4000000000000004,2996.2393493180425
3.5,3018.15381147003
3.6,3045.755663309284
3.7,3075.723446139422
3.8000000000000003,3103.67335538216
3.9000000000000004,3129.440081556145
4.0,3157.5142525510505
4.1000000000000005,3186.014807820825
4.2,3212.8876807848924
4.3,3238.9854911356624
4.4,3263.533208281564
4.5,3288.736915792496
4.6000000000000005,3313.1001819032276
4.7,3339.1534410128147
4.800000000000001,3364.429330885524
4.9,3392.03632754236
5.0,3421.798799982266
5.1000000000000005,3451.2482988299607
5.2,3479.2016184013746
5.300000000000001,3502.213470507717
5.4,3523.2272877419555
5.5,3542.923900848746
5.6000000000000005,3561.2943854959753
5.7,3581.1797768380534
5.800000000000001,3601.972930209352
5.9,3623.0014578134264
6.0,3639.7691559898003
6.1000000000000005,3652.861432247659
6.2,3666.9660651031436
6.300000000000001,3683.702095540341
6.4,3701.249746516243
6.5,3719.264380061169
6.6000000000000005,3733.873765319292
6.7,3744.044305333808
6.800000000000001,3749.993509068358
6.9,3755.288308963014
7.0,3758.756090254227
7.1000000000000005,3760.2131215781587
7.2,3762.0258977291946
7.300000000000001,3765.0270538398636
7.4,3769.7643243349003
7.5,3775.351247741763
7.6000000000000005,3783.0576437337572
7.7,3793.762123578119
7.800000000000001,3808.992031122772
7.9,3822.747304670285
8.0,3832.765663471176
8.1,3838.4414426531193
8.200000000000001,3846.46880010993
8.3,3853.5632101668125
8.4,3859.0189722837845
8.5,3861.98605329696
8.6,3867.4004990037815
8.700000000000001,3876.45396036142
8.8,3886.437166053103
8.9,3897.9056061128545
9.0,3904.9463562969913
9.1,3907.694492973665
9.200000000000001,3907.1748875037806
9.3,3906.5662194657434
9.4,3907.075835897702
9.5,3909.2806215144565
9.600000000000001,3912.874442368373
9.700000000000001,3920.512606917865
9.8,3934.147017837128
9.9,3954.9104584888487
10.0,3979.195210562921
10.100000000000001,4000.8733591295945
10.200000000000001,4019.819805366717
10.3,4033.4395682795584
10.4,4045.903990848528
10.5,4055.2800040916577
10.600000000000001,4061.3880452971957
10.700000000000001,4066.0677624544583
10.8,4065.2570429699185
10.9,4057.024742484013
11.0,4044.005237617065
11.100000000000001,4031.3955290295967
11.200000000000001,4019.7418364153414
11.3,4009.3035216202757
11.4,4000.164833536541
11.5,3989.572069440292
11.600000000000001,3977.97081561523
11.700000000000001,3963.695194432903
11.8,3950.3751125870267
11.9,3937.5786713143975
12.0,3924.9488671638965
12.100000000000001,3916.1488140698552
12.200000000000001,3910.954598002508
12.3,3912.9849478680226
12.4,3919.7894881503817
12.5,3930.4037708574238
12.600000000000001,3944.539360022104
12.700000000000001,3956.9708514935833
12.8,3969.7025395281767
12.9,3980.9735103355256
13.0,3993.2458668996483
13.100000000000001,4008.5832278147836
13.200000000000001,4024.7344315470286
13.3,4038.979810431651
13.4,4049.2154831213384
13.5,4054.3074752404473
13.600000000000001,4057.9654278106837
13.700000000000001,4061.7275596179106
13.8,4066.9804043117965
13.9,4072.0757498110743
14.0,4078.76058260896
14.100000000000001,4083.184281977161
14.200000000000001,4083.8588491371124
14.3,4077.4733061719626
14.4,4062.8256819476405
14.5,4046.154567985565
14.600000000000001,4029.485088173339
14.700000000000001,4016.6199848557017
14.8,4005.1363496400895
14.9,3994.57415006861
15.0,3985.389907681624
15.100000000000001,3977.403265771985
15.200000000000001,3975.835889134591
15.3,3981.2310459467244
15.4,3991.568260209311
15.5,4005.37730771862
15.600000000000001,4019.5681191274357
15.700000000000001,4031.6325552829953
15.8,4041.772378423341
15.9,4049.0109795624217
16.0,4052.509075083155
16.1,4052.319810109437
16.2,4050.5528450123106
16.3,4051.6334469217163
16.400000000000002,4055.89417293085
16.5,4058.8529279439235
16.6,4058.6730281591563
16.7,4056.3056109106005
16.8,4051.4430393863386
16.900000000000002,4046.155770162155
17.0,4040.7311411018823
17.1,4036.685959969021
17.2,4034.166623924324
17.3,4035.4926825359767
17.400000000000002,4039.58423107834
17.5,4041.676629247321
17.6,4043.3985386662366
17.7,4044.4587378499336
17.8,4046.3466530314718
17.900000000000002,4048.4456554894828
18.0,4049.834706178635
18.1,4053.4618795141746
18.2,4058.194039210426
18.3,4068.9882122438344
18.400000000000002,4084.8971491422967
18.5,4100.351552434032
18.6,4111.779661354952
18.7,4120.2252062935695
18.8,4128.706183031011
18.900000000000002,4134.288880455177
19.0,4136.208634638234
19.1,4137.221220557987
19.200000000000003,4135.5739320027815
19.3,4132.02570135286
19.400000000000002,4127.937536464427
19.5,4121.98263347362
19.6,4116.592533081444
19.700000000000003,4112.553519101225
19.8,4111.146713738799
19.900000000000002,4111.092550638917
20.0,4112.13845773635
20.1,4113.172196875818
20.200000000000003,4114.551815358247
20.3,4117.03529520866
20.400000000000002,4120.367826549807
20.5,4123.880638592581
20.6,4126.890389263306
20.700000000000003,4132.008018707113
20.8,4139.526245771972
20.900000000000002,4147.45941202182
21.0,4152.005999053181
21.1,4154.602412747718
21.200000000000003,4155.479511932474
21.3,4159.964174174922
21.400000000000002,4165.037523681415
21.5,4165.537187882353
21.6,4160.135331311647
21.700000000000003,4150.463547078411
21.8,4138.898467925943
21.900000000000002,4127.6598570288925
22.0,4119.194285538527
22.1,4112.865762248362
22.200000000000003,4110.319145548993
22.3,4111.654611734728
22.400000000000002,4113.627615237856
22.5,4112.151378422189
22.6,4109.320635458391
22.700000000000003,4107.2494491339185
22.8,4107.007787190375
22.900000000000002,4110.505460699207
23.0,4117.081621843779
23.1,4121.3815738134535
23.200000000000003,4123.195306490807
23.3,4122.577020097683
23.400000000000002,4120.67529403592
23.5,4115.08947706781
23.6,4106.391575453847
23.700000000000003,4102.44809738697
23.8,4104.223931604183
23.900000000000002,4109.1471030761895
24.0,4116.506538189392
24.1,4126.668751254668
24.200000000000003,4139.726496887515
24.3,4152.49181371813
24.400000000000002,4162.5207205753195
24.5,4166.875288889668
24.6,4166.687136848733
24.700000000000003,4165.456412939381
24.8,4165.872301138166
24.900000000000002,4168.3872174586195
25.0,4172.6829762624975
25.1,4178.770063954919
25.200000000000003,4186.866276590227
25.3,4198.0607045056395
25.400000000000002,4210.210212236806
25.5,4219.977385727502
25.6,4223.618097110475
25.700000000000003,4221.012052141865
